ID	landslide	x	y	elevation	slope	relprecip	profcurv	plancurv	aspect_sin	aspect_cos	canopy	treetype	treeheight	treenumber	groundwater	precip	max_precip_3h	deposit_thickness	bedrock2	landforms2	deposit2	LogFlow
416	1	187060.562	6872204.629	488.6260779	28.852606	217.56088	0.75528663	-4.925445557	-0.04771453	0.998861	60	3	108	716	1.7777778	114.264305	8.785622	3	4	0	1	6.90875477931522
417	1	186637.0716	6872285.895	496.9475842	30.936853	215.32512	2.3845232	-3.385535479	0.3960545	0.918227	100	3	111	2292	2.0769231	113.7476	9.043968	3	4	0	1	3.73766961828337
418	1	186444.2999	6872269.583	510.9819031	28.936996	215.32512	1.7473433	-3.897075653	-0.3433835	0.9391953	100	3	109	2356	2.0769231	113.7476	9.043968	3	4	0	1	8.11312710422178
419	1	186427.4369	6872248.507	520.9515063	33.07545	215.32512	1.6353819	-0.340272397	-0.1777324	0.9840789	93	3	109	1885	2.0769231	113.7476	9.043968	3	4	0	1	2.83321334405622
420	1	184083.589	6871314.036	667.1358813	27.758879	211.45744	-7.644358	0.690104783	0.3218733	0.94678277	26	3	73	471	1.68	118.7715	9.381716	3	4	1	1	8.69265796074698
421	1	182781.281	6871673.357	458.3623486	33.130627	207.1242	3.8614013	-2.450278521	0.5727465	0.81973255	57	3	133	915	1.6842105	119.2079	9.4248495	3	4	0	2	6.74051935960622
422	1	179756.1434	6872237.165	405.1914282	40.007915	203.99973	-0.12881662	-3.309295177	0.17993148	0.9836792	100	1	147	2275	2.0833333	115.452805	10.569658	2	4	0	1	6.43294009273918
426	1	167000.8567	6871316.904	852.0150024	41.3624	221.39491	0.87182325	-1.453684568	0.892853	0.45034823	92	3	127	1320	1.4782609	117.975	12.866274	2	5	0	1	4.52178857704904
427	1	165733.9167	6872185.068	905.2769727	30.372139	224.38765	1.483425	-0.695149243	0.7010266	-0.71313506	93	3	96	2332	1.38	105.1767	11.76852	3	5	1	1	3.8286413964891
429	1	162412.6852	6872626.525	499.7066748	31.17011	225.07082	0.592792	0.325384766	-0.59445053	0.80413216	95	3	94	2121	1.3076923	93.7618	10.28425	2	5	0	1	5.34233425196481
435	1	161999.2708	6871678.686	888.1270898	31.582815	222.04271	-0.7631737	-0.149599463	-0.004764364	0.9999887	60	3	87	845	1.4090909	92.582	10.435183	1	2	0	5	5.86078622346587
436	1	162025.8626	6871691.267	881.2460034	29.810743	222.60991	-2.7634785	-0.830509782	0.19411257	0.98097926	84	3	114	1278	1.264151	95.9387	10.435183	1	2	0	5	4.49980967033027
439	1	161832.8148	6872312.507	566.5052954	41.0781	225.02602	0.40878445	0.449555933	-0.092726655	0.9956916	98	2	151	1599	1.2380953	91.1589	10.670335	2	5	1	1	6.09356977004514
440	1	161803.5235	6872411.645	511.0222791	33.534492	225.02602	-5.332409	2.419602871	-0.22367686	0.9746634	95	3	101	2361	1.2380953	91.1589	10.670335	2	5	0	1	6.78445706263764
442	1	188034.6134	6883410.862	895.9052783	37.874138	179.23586	0.11943661	1.180442452	-0.30752936	-0.9515386	85	3	90	1482	1.6666666	118.4724	9.87486	2	2	0	1	4.34380542185368
443	1	188100.0093	6883336.781	873.2771826	34.723614	179.23586	-2.5884259	4.374523163	-0.54722995	-0.8369823	54	2	100	500	1.6666666	118.4724	9.87486	2	2	0	1	3.95124371858143
445	1	188988.7141	6883477.194	1043.105898	34.416775	179.23586	-2.4936507	3.625997782	-0.53997624	-0.8416803	100	3	98	1943	1.6666666	118.4724	9.683147	2	2	0	1	5.50533153593236
446	1	188744.6314	6883217.247	868.3151782	49.30349	179.23586	-5.0398445	-0.972627878	-0.69888055	-0.7152384	100	3	103	1969	1.6666666	118.4724	9.87486	2	2	0	1	5.18738580584075
