ID	landslide	x	y	elevation	slope	relprecip	profcurv	plancurv	aspect_sin	aspect_cos	groundwater	precip	max_precip_3h	deposit_thickness	bedrock2	landforms2	deposit2	LogFlow
566	1	180951.4515	6855604.312	1123.94915	21.82243	190.40605	-1.0160551	-0.026191875	0.61578757	0.7879122	1.3584906	160.4595	12.381157	2	4	1	1	6.18620862390049
567	1	237604.7329	6682558.593	145.6101135	27.848473	100.56454	-3.2498713	2.278942108	0.59396833	0.8044884	1.6521739	86.27	10.047026	3	4	1	2	3.09104245335832
568	1	195374.0922	6892371.968	657.7614722	28.87453	184.7487	0.6823951	0.757815063	-0.53112036	-0.8472964	1.6666666	104.5866	7.522057	2	2	1	1	7.10987946307227
569	1	184470.182	6775512.14	660.1141406	27.523922	132.39777	-0.37450564	-0.208939254	-0.39180905	-0.92004657	1.4054054	114.9912	16.079552	2	2	1	1	3.17805383034795
570	1	184485.6362	6775493.704	653.3404199	24.726114	132.39777	-1.3821379	-0.75086832	-0.36363003	-0.93154347	1.4054054	114.9912	16.079552	2	2	1	1	4.65396035015752
571	1	184512.4337	6775493.102	657.9291992	23.996468	132.39777	-0.383201	-2.130769253	-0.3266145	-0.94515765	1.4054054	114.9912	16.079552	2	2	1	1	7.89207842124812
572	0	186937.5	6860042.5	1133.307871	22.712725	199.82576	-1.74541	1.926132917	0.8251925	0.5648515	1.4489796	141.8306	11.950479	1	2	0	5	2.63905732961526
573	0	235552.5	6723457.5	431.622041	28.090853	156.86833	5.578662	0.151054546	-0.97741205	0.21134256	1.4857143	155.9352	13.902153	3	4	1	1	6.27476202124194
574	0	109172.5	6813357.5	1060.569204	38.380093	141.55312	-2.1988928	0.53515017	0.432826	-0.90147746	1.1428572	95.4545	10.027796	1	4	0	5	2.30258509299405
575	0	217662.5	6757582.5	839.4765234	25.066256	150.44928	-1.2827985	-1.37315011	0.4980266	0.86716175	1.3061224	145.6584	14.06168	2	4	0	1	3.78418963391826
576	0	78712.5	6782247.5	787.6852856	35.963917	116.3899	1.6670357	-2.911567688	0.6477064	0.76189	0.81578946	73.3916	10.5502825	1	3	0	5	5.04985600724954
